Titulo;Rua;Metros;Quartos;Banheiro;Garagem;Preço;Link;Id;Concatenados
Setor Marista, Goiânia;Rua 13;162 m²;3;4;2;R$ 1.820.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-162m2-id-2803879021/?source=ranking%2Crp;2803879021;Setor Marista, GoiâniaRua 13162 m²34R$ 1.820.000
Setor Marista, Goiânia;Avenida 136;42 m²;1;2;0;R$ 645.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-setor-marista-goiania-42m2-id-2805760718/?source=ranking%2Crp;2805760718;Setor Marista, GoiâniaAvenida 13642 m²12R$ 645.000
Setor Marista, Goiânia;Rua 1128;105 m²;3;4;2;R$ 1.185.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-105m2-id-2805756355/?source=ranking%2Crp;2805756355;Setor Marista, GoiâniaRua 1128105 m²34R$ 1.185.000
Setor Marista, Goiânia;Rua 1124;126 m²;3;3;2;R$ 1.600.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-setor-marista-goiania-126m2-id-2793793343/?source=ranking%2Crp;2793793343;Setor Marista, GoiâniaRua 1124126 m²33R$ 1.600.000
Setor Marista, Goiânia;Rua 34-A;240 m²;3;3;3;R$ 2.930.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-240m2-id-2776951144/?source=ranking%2Crp;2776951144;Setor Marista, GoiâniaRua 34-A240 m²33R$ 2.930.000
Setor Marista, Goiânia;Rua 1125;139 m²;3;4;3;R$ 1.644.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-139m2-id-2800954715/?source=ranking%2Crp;2800954715;Setor Marista, GoiâniaRua 1125139 m²34R$ 1.644.000
Setor Marista, Goiânia;Rua 1141;256 m²;4;4;3;R$ 2.450.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-janelas-grandes-setor-marista-goiania-256m2-id-2802677919/?source=ranking%2Crp;2802677919;Setor Marista, GoiâniaRua 1141256 m²44R$ 2.450.000
Setor Marista, Goiânia;Rua 1128;114 m²;3;4;2;R$ 1.350.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-setor-marista-goiania-114m2-id-2806214141/?source=ranking%2Crp;2806214141;Setor Marista, GoiâniaRua 1128114 m²34R$ 1.350.000
Setor Marista, Goiânia;Alameda Doutor Sebastião Fleury;411 m²;4;6;4;R$ 7.137.438;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-411m2-id-2569802428/?source=ranking%2Crp;2569802428;Setor Marista, GoiâniaAlameda Doutor Sebastião Fleury411 m²46R$ 7.137.438
Setor Marista, Goiânia;Rua 25;158 m²;3;5;3;R$ 1.680.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-158m2-id-2800312210/?source=ranking%2Crp;2800312210;Setor Marista, GoiâniaRua 25158 m²35R$ 1.680.000
